Month,District,population
2015-03,Rodney,61033.33
2015-03,Waitakere,170800.00
2015-04,AucklandCity,486850.00
2015-04,Franklin,71675.00
2015-04,Manukau,398000.00
2015-04,NorthShore,309775.00
2015-04,Papakura,53775.00
2015-04,Rodney,61250.00
2015-04,Waitakere,171050.00
2015-05,AucklandCity,487566.67
2015-05,Franklin,71833.33
2015-05,Manukau,398900.00
2015-05,NorthShore,310366.67
2015-05,Papakura,54000.00
2015-05,Rodney,61466.67
2015-05,Waitakere,171300.00
2015-06,AucklandCity,488283.33
2015-06,Franklin,71991.67
2015-06,Manukau,399800.00
2015-06,NorthShore,310958.33
2015-06,Papakura,54225.00
2015-06,Rodney,61683.33
2015-06,Waitakere,171550.00
2015-07,AucklandCity,489000.00
2015-07,Franklin,72150.00
2015-07,Manukau,400700.00
2015-07,NorthShore,311550.00
2015-07,Papakura,54450.00
2015-07,Rodney,61900.00
2015-07,Waitakere,171800.00
2015-08,AucklandCity,489716.67
2015-08,Franklin,72308.33
2015-08,Manukau,401600.00
2015-08,NorthShore,312141.67
2015-08,Papakura,54675.00
2015-08,Rodney,62116.67
2015-08,Waitakere,172050.00
2015-09,AucklandCity,490433.33
2015-09,Franklin,72466.67
2015-09,Manukau,402500.00
2015-09,NorthShore,312733.33
2015-09,Papakura,54900.00
2015-09,Rodney,62333.33
2015-09,Waitakere,172300.00
2015-10,AucklandCity,491150.00
2015-10,Franklin,72625.00
2015-10,Manukau,403400.00
2015-10,NorthShore,313325.00
2015-10,Papakura,55125.00
2015-10,Rodney,62550.00
2015-10,Waitakere,172550.00
2015-11,AucklandCity,491866.67
2015-11,Franklin,72783.33
2015-11,Manukau,404300.00
2015-11,NorthShore,313916.67
2015-11,Papakura,55350.00
2015-11,Rodney,62766.67
2015-11,Waitakere,172800.00
2015-12,AucklandCity,492583.33
2015-12,Franklin,72941.67
2015-12,Manukau,405200.00
2015-12,NorthShore,314508.33
2015-12,Papakura,55575.00
2015-12,Rodney,62983.33
2015-12,Waitakere,173050.00
2016-01,AucklandCity,493300.00
2016-01,Franklin,73100.00
2016-01,Manukau,406100.00
2016-01,NorthShore,315100.00
2016-01,Papakura,55800.00
2016-01,Rodney,63200.00
2016-01,Waitakere,173300.00
2016-02,AucklandCity,493875.00
2016-02,Franklin,73283.33
2016-02,Manukau,406900.00
2016-02,NorthShore,315716.67
2016-02,Papakura,56041.67
2016-02,Rodney,63441.67
2016-02,Waitakere,173550.00
2016-03,AucklandCity,494450.00
2016-03,Franklin,73466.67
2016-03,Manukau,407700.00
2016-03,NorthShore,316333.33
2016-03,Papakura,56283.33
2016-03,Rodney,63683.33
2016-03,Waitakere,173800.00
2016-04,AucklandCity,495025.00
2016-04,Franklin,73650.00
2016-04,Manukau,408500.00
2016-04,NorthShore,316950.00
2016-04,Papakura,56525.00
2016-04,Rodney,63925.00
2016-04,Waitakere,174050.00
2016-05,AucklandCity,495600.00
2016-05,Franklin,73833.33
2016-05,Manukau,409300.00
2016-05,NorthShore,317566.67
2016-05,Papakura,56766.67
2016-05,Rodney,64166.67
2016-05,Waitakere,174300.00
2016-06,AucklandCity,496175.00
2016-06,Franklin,74016.67
2016-06,Manukau,410100.00
2016-06,NorthShore,318183.33
2016-06,Papakura,57008.33
2016-06,Rodney,64408.33
2016-06,Waitakere,174550.00
2016-07,AucklandCity,496750.00
2016-07,Franklin,74200.00
2016-07,Manukau,410900.00
2016-07,NorthShore,318800.00
2016-07,Papakura,57250.00
2016-07,Rodney,64650.00
2016-07,Waitakere,174800.00
2016-08,AucklandCity,497325.00
2016-08,Franklin,74383.33
2016-08,Manukau,411700.00
2016-08,NorthShore,319416.67
2016-08,Papakura,57491.67
2016-08,Rodney,64891.67
2016-08,Waitakere,175050.00
