Month,District,Scenario,feature,shap_value
2026-02-01,AucklandCity,high,f_1,0.0004539644176676298
2026-02-01,Franklin,high,f_1,-0.001653317024407476
2026-02-01,Manukau,high,f_1,0.00039681721337752587
2026-02-01,NorthShore,high,f_1,0.0004992135126949394
2026-02-01,Papakura,high,f_1,-0.0005463517877964391
2026-02-01,Rodney,high,f_1,0.0006056066857260101
2026-02-01,Waitakere,high,f_1,0.0004603544304736736
2026-03-01,AucklandCity,high,f_1,0.0004840763956053727
2026-03-01,Franklin,high,f_1,-0.0015061476496177626
2026-03-01,Manukau,high,f_1,0.0004310879304768553
2026-03-01,NorthShore,high,f_1,0.0005805751126496645
2026-03-01,Papakura,high,f_1,-0.0006029290725476521
2026-03-01,Rodney,high,f_1,0.0006251034328334975
2026-03-01,Waitakere,high,f_1,0.00048157422921276495
2026-04-01,AucklandCity,high,f_1,0.00046662744945711796
2026-04-01,Franklin,high,f_1,-0.001123858712467684
2026-04-01,Manukau,high,f_1,0.00042898939212556526
2026-04-01,NorthShore,high,f_1,0.0005218425497073056
2026-04-01,Papakura,high,f_1,-0.0006657266333992955
2026-04-01,Rodney,high,f_1,0.0005534356464953536
2026-04-01,Waitakere,high,f_1,0.0004102045538617547
2026-05-01,AucklandCity,high,f_1,0.0004362883737957104
2026-05-01,Franklin,high,f_1,-0.0011834948379611555
2026-05-01,Manukau,high,f_1,0.00042521018389066374
2026-05-01,NorthShore,high,f_1,0.00047601110986336714
2026-05-01,Papakura,high,f_1,-0.0007317952280367492
2026-05-01,Rodney,high,f_1,0.0006169789399907366
2026-05-01,Waitakere,high,f_1,0.0004226816067331001
2026-06-01,AucklandCity,high,f_1,0.0004455267917286692
2026-06-01,Franklin,high,f_1,-0.0012283768335055478
2026-06-01,Manukau,high,f_1,0.0004016327235934757
2026-06-01,NorthShore,high,f_1,0.00044871372813035397
2026-06-01,Papakura,high,f_1,-0.0006812865848037228
2026-06-01,Rodney,high,f_1,0.0006294103051503434
2026-06-01,Waitakere,high,f_1,0.00038564159056375647
2025-07-01,AucklandCity,low,f_1,0.0004143969905972975
2025-07-01,Franklin,low,f_1,-0.0021835809833569537
2025-07-01,Manukau,low,f_1,0.0003517009775113859
2025-07-01,NorthShore,low,f_1,0.0004041324604616205
2025-07-01,Papakura,low,f_1,7.973777482972797e-05
2025-07-01,Rodney,low,f_1,0.00038915363531153194
2025-07-01,Waitakere,low,f_1,0.000297556176495876
2025-08-01,AucklandCity,low,f_1,0.00046438863456871944
2025-08-01,Franklin,low,f_1,-0.0021787192994332815
2025-08-01,Manukau,low,f_1,0.00038588105993691006
2025-08-01,NorthShore,low,f_1,0.000455028751383533
2025-08-01,Papakura,low,f_1,2.3101694043030845e-05
2025-08-01,Rodney,low,f_1,0.0004961750599070564
2025-08-01,Waitakere,low,f_1,0.00035495226761876397
2025-09-01,AucklandCity,low,f_1,0.0004604061216026262
2025-09-01,Franklin,low,f_1,-0.002222070882802172
2025-09-01,Manukau,low,f_1,0.00039137266442527984
2025-09-01,NorthShore,low,f_1,0.0004494431928565199
2025-09-01,Papakura,low,f_1,7.406767901979068e-06
2025-09-01,Rodney,low,f_1,0.0004894584356943936
2025-09-01,Waitakere,low,f_1,0.0003769665542208195
2025-10-01,AucklandCity,low,f_1,0.0004050538350229006
2025-10-01,Franklin,low,f_1,-0.0015769862048872266
2025-10-01,Manukau,low,f_1,0.0003319703023292294
2025-10-01,NorthShore,low,f_1,0.0004401556382155064
2025-10-01,Papakura,low,f_1,-0.000325196692937482
2025-10-01,Rodney,low,f_1,0.0005877291520071906
2025-10-01,Waitakere,low,f_1,0.0003869020029999298
2025-11-01,AucklandCity,low,f_1,0.00040755632560319284
2025-11-01,Franklin,low,f_1,-0.001608967613946472
2025-11-01,Manukau,low,f_1,0.0003372033936201759
2025-11-01,NorthShore,low,f_1,0.00044362639801227984
2025-11-01,Papakura,low,f_1,-0.00033057155646074536
2025-11-01,Rodney,low,f_1,0.0005816255347718144
2025-11-01,Waitakere,low,f_1,0.00040659817792089946
2025-12-01,AucklandCity,low,f_1,0.0004073973828623757
2025-12-01,Franklin,low,f_1,-0.001649745530098493
2025-12-01,Manukau,low,f_1,0.0003354859577005083
2025-12-01,NorthShore,low,f_1,0.0004410151749781613
2025-12-01,Papakura,low,f_1,-0.0003119473554014784
2025-12-01,Rodney,low,f_1,0.0005874827716031998
2025-12-01,Waitakere,low,f_1,0.00037995556971713747
2026-01-01,AucklandCity,low,f_1,0.0004244208755624367
2026-01-01,Franklin,low,f_1,-0.0013349719729838468
2026-01-01,Manukau,low,f_1,0.00034897268387070797
2026-01-01,NorthShore,low,f_1,0.00042835866574989173
2026-01-01,Papakura,low,f_1,-0.000548682354350902
2026-01-01,Rodney,low,f_1,0.0007044688298261429
2026-01-01,Waitakere,low,f_1,0.0003959463064241044
2026-02-01,AucklandCity,low,f_1,0.00043992510996144335
2026-02-01,Franklin,low,f_1,-0.0013472850231083767
2026-02-01,Manukau,low,f_1,0.0003604069500051939
2026-02-01,NorthShore,low,f_1,0.0004295783267606667
2026-02-01,Papakura,low,f_1,-0.0005816066786000707
2026-02-01,Rodney,low,f_1,0.0005743514288394837
2026-02-01,Waitakere,low,f_1,0.0003889768707325997
2026-03-01,AucklandCity,low,f_1,0.0004531091837777704
2026-03-01,Franklin,low,f_1,-0.0012060304498453568
2026-03-01,Manukau,low,f_1,0.00037764484756854053
2026-03-01,NorthShore,low,f_1,0.0005158272524003171
2026-03-01,Papakura,low,f_1,-0.0006478830459284919
