Month,District,OCR,CGPI_Dwelling,Net_migration_monthly,weeklyrent,unemployment_rate,RealMortgageRate,log_Median_Price,log_sales_count,log_Consents
2020-08,AucklandCity,0.25,787.47,383.33,567.5,4.5,2.2386,13.9108207377686,6.71901315438526,5.497168225293202
2020-08,Franklin,0.25,787.47,133.33,511.0,4.5,2.2386,13.473020249017498,4.736198448394496,4.553876891600541
2020-08,Manukau,0.25,787.47,465.83,505.5,4.5,2.2386,13.732128949025222,6.2878585601617845,5.4680601411351315
2020-08,NorthShore,0.25,787.47,301.67,585.5,4.5,2.2386,13.928839243271277,6.059123195581797,5.945420608606575
2020-08,Papakura,0.25,787.47,216.67,518.0,4.5,2.2386,13.574712071411344,4.948759890378168,4.736198448394496
2020-08,Rodney,0.25,787.47,233.33,542.0,4.5,2.2386,13.77572968795243,5.365976015021851,4.574710978503383
2020-08,Waitakere,0.25,787.47,135.0,517.5,4.5,2.2386,13.693342923990066,6.054439346269371,5.37989735354046
2020-09,AucklandCity,0.25,790.5,383.33,567.5,4.6,2.1909,14.038654109278484,6.8001700683022,6.126869184114185
2020-09,Franklin,0.25,790.5,133.33,511.0,4.6,2.1909,13.473020249017498,4.867534450455582,4.2626798770413155
2020-09,Manukau,0.25,790.5,465.83,505.5,4.6,2.1909,13.780919113194654,6.3473892096560105,5.860786223465865
2020-09,NorthShore,0.25,790.5,301.67,585.5,4.6,2.1909,13.846306458761427,6.311734809152915,6.0473721790462776
2020-09,Papakura,0.25,790.5,216.67,518.0,4.6,2.1909,13.491164501140902,4.997212273764115,5.030437921392435
2020-09,Rodney,0.25,790.5,233.33,542.0,4.6,2.1909,13.7525707581904,5.605802066295998,4.836281906951478
2020-09,Waitakere,0.25,790.5,135.0,517.5,4.6,2.1909,13.693342923990066,6.054439346269371,4.983606621708336
2020-10,AucklandCity,0.25,793.54,383.33,567.5,4.7,2.1132,14.01436141670944,6.933423025730715,5.863631175598097
2020-10,Franklin,0.25,793.54,133.33,511.0,4.7,2.1132,13.507625778194974,4.74493212836325,4.330733340286331
2020-10,Manukau,0.25,793.54,465.83,505.5,4.7,2.1132,13.807982291543482,6.4967749901858625,5.863631175598097
2020-10,NorthShore,0.25,793.54,301.67,585.5,4.7,2.1132,13.959610901938031,6.144185634125646,5.82600010738045
2020-10,Papakura,0.25,793.54,216.67,518.0,4.7,2.1132,13.500799813124575,5.153291594497779,4.812184355372417
2020-10,Rodney,0.25,793.54,233.33,542.0,4.7,2.1132,13.758940206475879,5.69035945432406,4.787491742782046
2020-10,Waitakere,0.25,793.54,135.0,517.5,4.7,2.1132,13.726679344257658,6.20455776256869,5.278114659230517
2020-11,AucklandCity,0.25,796.23,383.33,567.5,4.8,2.0454,14.038654109278484,7.141245122350491,6.2878585601617845
2020-11,Franklin,0.25,796.23,133.33,511.0,4.8,2.0454,13.596109992928898,4.912654885736052,4.51085950651685
2020-11,Manukau,0.25,796.23,465.83,505.5,4.8,2.0454,13.779883380321124,6.658011045870748,6.113682179832232
2020-11,NorthShore,0.25,796.23,301.67,585.5,4.8,2.0454,14.018451401960965,6.343880434126331,5.3471075307174685
2020-11,Papakura,0.25,796.23,216.67,518.0,4.8,2.0454,13.556739829006913,5.293304824724492,4.941642422609304
2020-11,Rodney,0.25,796.23,233.33,542.0,4.8,2.0454,13.820498099475314,5.831882477283517,4.584967478670572
2020-11,Waitakere,0.25,796.23,135.0,517.5,4.8,2.0454,13.716794585025117,6.345636360828596,5.308267697401205
2020-12,AucklandCity,0.25,798.93,383.33,567.5,4.9,2.0167,14.054527458434775,6.874198495453294,6.192362489474872
2020-12,Franklin,0.25,798.93,133.33,511.0,4.9,2.0167,13.581053246749791,4.836281906951478,4.2626798770413155
2020-12,Manukau,0.25,798.93,465.83,505.5,4.9,2.0167,13.73538451348499,6.705639094860003,6.148468295917647
2020-12,NorthShore,0.25,798.93,301.67,585.5,4.9,2.0167,14.026581528044215,6.333279628139691,5.176149732573829
2020-12,Papakura,0.25,798.93,216.67,518.0,4.9,2.0167,13.592367006650065,5.308267697401205,5.10594547390058
2020-12,Rodney,0.25,798.93,233.33,542.0,4.9,2.0167,13.830399170458024,5.666426688112432,4.330733340286331
2020-12,Waitakere,0.25,798.93,135.0,517.5,4.9,2.0167,13.764217263576723,6.329720905522696,4.948759890378168
2021-01,AucklandCity,0.25,801.62,-949.17,587.33,4.93,1.9691,13.911729415704817,6.222576268071369,6.251903883165888
2021-01,Franklin,0.25,801.62,77.5,554.0,4.93,1.9691,13.554145793829866,4.624972813284271,4.343805421853684
2021-01,Manukau,0.25,801.62,-231.67,525.75,4.93,1.9691,13.737008329809317,5.996452088619021,5.303304908059076
2021-01,NorthShore,0.25,801.62,-261.67,605.0,4.93,1.9691,14.042646130548022,5.802118375377063,5.638354669333745
2021-01,Papakura,0.25,801.62,125.0,559.0,4.93,1.9691,13.574712071411344,4.672828834461906,4.5217885770490405
2021-01,Rodney,0.25,801.62,141.67,570.0,4.93,1.9691,13.901688254205327,5.153291594497779,4.204692619390966
2021-01,Waitakere,0.25,801.62,-83.33,546.0,4.93,1.9691,13.753635154246187,5.805134968916488,5.111987788356544
2021-02,AucklandCity,0.25,812.83,-949.17,587.33,4.97,1.343,14.067047183779701,6.75343791859778,5.627621113690637
2021-02,Franklin,0.25,812.83,77.5,554.0,4.97,1.343,13.625559974005828,4.718498871295094,4.68213122712422
2021-02,Manukau,0.25,812.83,-231.67,525.75,4.97,1.343,13.818506066944073,6.432940092739179,5.648974238161206
2021-02,NorthShore,0.25,812.83,-261.67,605.0,4.97,1.343,14.093899583504463,6.154858094016418,5.342334251964811
2021-02,Papakura,0.25,812.83,125.0,559.0,4.97,1.343,13.62918097977278,5.1647859739235145,4.700480365792417
2021-02,Rodney,0.25,812.83,141.67,570.0,4.97,1.343,13.845069360205818,5.497168225293202,4.382026634673881
2021-02,Waitakere,0.25,812.83,-83.33,546.0,4.97,1.343,13.818506066944073,6.066108090103747,4.6443908991413725
2021-03,AucklandCity,0.25,824.05,-949.17,587.33,5.0,0.737,14.144013984936105,7.060476365999801,5.966146739123692
2021-03,Franklin,0.25,824.05,77.5,554.0,5.0,0.737,13.62918097977278,4.634728988229636,4.7535901911063645
2021-03,Manukau,0.25,824.05,-231.67,525.75,5.0,0.737,13.878485357125662,6.769641976852503,5.840641657373398
2021-03,NorthShore,0.25,824.05,-261.67,605.0,5.0,0.737,14.119312012295937,6.470799503782602,5.950642552587727
2021-03,Papakura,0.25,824.05,125.0,559.0,5.0,0.737,13.676248490630767,5.402677381872279,4.8283137373023015
2021-03,Rodney,0.25,824.05,141.67,570.0,5.0,0.737,13.972514306773938,5.68697535633982,4.330733340286331
2021-03,Waitakere,0.25,824.05,-83.33,546.0,5.0,0.737,13.80949248563871,6.566672429803241,5.198497031265826
2021-04,AucklandCity,0.25,835.26,-949.17,587.33,5.03,0.1171,14.092005284775478,6.638567789166521,5.726847747587197
2021-04,Franklin,0.25,835.26,77.5,554.0,5.03,0.1171,13.635187003832993,4.30406509320417,4.564348191467836
2021-04,Manukau,0.25,835.26,-231.67,525.75,5.03,0.1171,13.865252649859087,6.480044561926653,5.733341276897746
2021-04,NorthShore,0.25,835.26,-261.67,605.0,5.03,0.1171,14.068601185646436,6.059123195581797,6.269096283706261
2021-04,Papakura,0.25,835.26,125.0,559.0,5.03,0.1171,13.664687668229691,4.890349128221754,4.3694478524670215
2021-04,Rodney,0.25,835.26,141.67,570.0,5.03,0.1171,13.955272500339433,5.420534999272286,4.718498871295094
2021-04,Waitakere,0.25,835.26,-83.33,546.0,5.03,0.1171,13.80747838626701,6.003887067106539,5.220355825078324
2021-05,AucklandCity,0.25,846.43,-949.17,587.33,5.07,-0.4058,14.119312012295937,6.728628613084702,5.955837369464831
2021-05,Franklin,0.25,846.43,77.5,554.0,5.07,-0.4058,13.619495674038317,4.543294782270004,4.962844630259907
2021-05,Manukau,0.25,846.43,-231.67,525.75,5.07,-0.4058,13.865252649859087,6.4425401664681985,6.135564891081739
