Month,District,2YearFixedRate
2014-01,NorthShore,6.08
2014-01,Papakura,6.08
2014-01,Rodney,6.08
2014-01,Waitakere,6.08
2014-02,AucklandCity,6.02
2014-02,Franklin,6.02
2014-02,Manukau,6.02
2014-02,NorthShore,6.02
2014-02,Papakura,6.02
2014-02,Rodney,6.02
2014-02,Waitakere,6.02
2014-03,AucklandCity,6.23
2014-03,Franklin,6.23
2014-03,Manukau,6.23
2014-03,NorthShore,6.23
2014-03,Papakura,6.23
2014-03,Rodney,6.23
2014-03,Waitakere,6.23
2014-04,AucklandCity,6.25
2014-04,Franklin,6.25
2014-04,Manukau,6.25
2014-04,NorthShore,6.25
2014-04,Papakura,6.25
2014-04,Rodney,6.25
2014-04,Waitakere,6.25
2014-05,AucklandCity,6.21
2014-05,Franklin,6.21
2014-05,Manukau,6.21
2014-05,NorthShore,6.21
2014-05,Papakura,6.21
2014-05,Rodney,6.21
2014-05,Waitakere,6.21
2014-06,AucklandCity,6.23
2014-06,Franklin,6.23
2014-06,Manukau,6.23
2014-06,NorthShore,6.23
2014-06,Papakura,6.23
2014-06,Rodney,6.23
2014-06,Waitakere,6.23
2014-07,AucklandCity,6.3
2014-07,Franklin,6.3
2014-07,Manukau,6.3
2014-07,NorthShore,6.3
2014-07,Papakura,6.3
2014-07,Rodney,6.3
2014-07,Waitakere,6.3
2014-08,AucklandCity,6.25
2014-08,Franklin,6.25
2014-08,Manukau,6.25
2014-08,NorthShore,6.25
2014-08,Papakura,6.25
2014-08,Rodney,6.25
2014-08,Waitakere,6.25
2014-09,AucklandCity,6.31
2014-09,Franklin,6.31
2014-09,Manukau,6.31
2014-09,NorthShore,6.31
2014-09,Papakura,6.31
2014-09,Rodney,6.31
2014-09,Waitakere,6.31
2014-10,AucklandCity,6.27
2014-10,Franklin,6.27
2014-10,Manukau,6.27
2014-10,NorthShore,6.27
2014-10,Papakura,6.27
2014-10,Rodney,6.27
2014-10,Waitakere,6.27
2014-11,AucklandCity,6.18
2014-11,Franklin,6.18
2014-11,Manukau,6.18
2014-11,NorthShore,6.18
2014-11,Papakura,6.18
2014-11,Rodney,6.18
2014-11,Waitakere,6.18
2014-12,AucklandCity,6.16
2014-12,Franklin,6.16
2014-12,Manukau,6.16
2014-12,NorthShore,6.16
2014-12,Papakura,6.16
2014-12,Rodney,6.16
2014-12,Waitakere,6.16
2015-01,AucklandCity,6.14
2015-01,Franklin,6.14
2015-01,Manukau,6.14
2015-01,NorthShore,6.14
2015-01,Papakura,6.14
2015-01,Rodney,6.14
2015-01,Waitakere,6.14
2015-02,AucklandCity,5.99
2015-02,Franklin,5.99
2015-02,Manukau,5.99
2015-02,NorthShore,5.99
2015-02,Papakura,5.99
2015-02,Rodney,5.99
2015-02,Waitakere,5.99
2015-03,AucklandCity,5.98
2015-03,Franklin,5.98
2015-03,Manukau,5.98
2015-03,NorthShore,5.98
2015-03,Papakura,5.98
2015-03,Rodney,5.98
2015-03,Waitakere,5.98
2015-04,AucklandCity,5.92
2015-04,Franklin,5.92
2015-04,Manukau,5.92
2015-04,NorthShore,5.92
2015-04,Papakura,5.92
2015-04,Rodney,5.92
2015-04,Waitakere,5.92
2015-05,AucklandCity,5.79
2015-05,Franklin,5.79
2015-05,Manukau,5.79
2015-05,NorthShore,5.79
2015-05,Papakura,5.79
2015-05,Rodney,5.79
2015-05,Waitakere,5.79
2015-06,AucklandCity,5.61
2015-06,Franklin,5.61
2015-06,Manukau,5.61
2015-06,NorthShore,5.61
2015-06,Papakura,5.61
2015-06,Rodney,5.61
2015-06,Waitakere,5.61
2015-07,AucklandCity,5.56
2015-07,Franklin,5.56
2015-07,Manukau,5.56
2015-07,NorthShore,5.56
2015-07,Papakura,5.56
2015-07,Rodney,5.56
2015-07,Waitakere,5.56
2015-08,AucklandCity,5.43
2015-08,Franklin,5.43
2015-08,Manukau,5.43
2015-08,NorthShore,5.43
2015-08,Papakura,5.43
2015-08,Rodney,5.43
2015-08,Waitakere,5.43
2015-09,AucklandCity,5.32
2015-09,Franklin,5.32
2015-09,Manukau,5.32
2015-09,NorthShore,5.32
2015-09,Papakura,5.32
2015-09,Rodney,5.32
2015-09,Waitakere,5.32
2015-10,AucklandCity,5.25
2015-10,Franklin,5.25
2015-10,Manukau,5.25
2015-10,NorthShore,5.25
2015-10,Papakura,5.25
2015-10,Rodney,5.25
2015-10,Waitakere,5.25
2015-11,AucklandCity,5.25
2015-11,Franklin,5.25
2015-11,Manukau,5.25
2015-11,NorthShore,5.25
2015-11,Papakura,5.25
2015-11,Rodney,5.25
2015-11,Waitakere,5.25
2015-12,AucklandCity,5.23
2015-12,Franklin,5.23
2015-12,Manukau,5.23
2015-12,NorthShore,5.23
2015-12,Papakura,5.23
2015-12,Rodney,5.23
2015-12,Waitakere,5.23
2016-01,AucklandCity,5.21
2016-01,Franklin,5.21
2016-01,Manukau,5.21
2016-01,NorthShore,5.21
2016-01,Papakura,5.21
2016-01,Rodney,5.21
2016-01,Waitakere,5.21
2016-02,AucklandCity,5.18
2016-02,Franklin,5.18
2016-02,Manukau,5.18
2016-02,NorthShore,5.18
2016-02,Papakura,5.18
2016-02,Rodney,5.18
2016-02,Waitakere,5.18
2016-03,AucklandCity,5.12
2016-03,Franklin,5.12
2016-03,Manukau,5.12
2016-03,NorthShore,5.12
2016-03,Papakura,5.12
2016-03,Rodney,5.12
2016-03,Waitakere,5.12
2016-04,AucklandCity,5.09
2016-04,Franklin,5.09
2016-04,Manukau,5.09
2016-04,NorthShore,5.09
2016-04,Papakura,5.09
2016-04,Rodney,5.09
2016-04,Waitakere,5.09
2016-05,AucklandCity,5.04
2016-05,Franklin,5.04
2016-05,Manukau,5.04
2016-05,NorthShore,5.04
2016-05,Papakura,5.04
2016-05,Rodney,5.04
2016-05,Waitakere,5.04
2016-06,AucklandCity,5.05
2016-06,Franklin,5.05
2016-06,Manukau,5.05
2016-06,NorthShore,5.05
2016-06,Papakura,5.05
2016-06,Rodney,5.05
2016-06,Waitakere,5.05
2016-07,AucklandCity,5.05
2016-07,Franklin,5.05
2016-07,Manukau,5.05
2016-07,NorthShore,5.05
2016-07,Papakura,5.05
2016-07,Rodney,5.05
2016-07,Waitakere,5.05
2016-08,AucklandCity,5.06
2016-08,Franklin,5.06
2016-08,Manukau,5.06
2016-08,NorthShore,5.06
2016-08,Papakura,5.06
2016-08,Rodney,5.06
2016-08,Waitakere,5.06
2016-09,AucklandCity,5.06
2016-09,Franklin,5.06
2016-09,Manukau,5.06
2016-09,NorthShore,5.06
2016-09,Papakura,5.06
2016-09,Rodney,5.06
2016-09,Waitakere,5.06
2016-10,AucklandCity,5.06
2016-10,Franklin,5.06
2016-10,Manukau,5.06
2016-10,NorthShore,5.06
2016-10,Papakura,5.06
2016-10,Rodney,5.06
2016-10,Waitakere,5.06
2016-11,AucklandCity,5.09
2016-11,Franklin,5.09
2016-11,Manukau,5.09
2016-11,NorthShore,5.09
2016-11,Papakura,5.09
2016-11,Rodney,5.09
2016-11,Waitakere,5.09
2016-12,AucklandCity,5.14
2016-12,Franklin,5.14
2016-12,Manukau,5.14
2016-12,NorthShore,5.14
2016-12,Papakura,5.14
2016-12,Rodney,5.14
2016-12,Waitakere,5.14
2017-01,AucklandCity,5.04
2017-01,Franklin,5.04
2017-01,Manukau,5.04
2017-01,NorthShore,5.04
2017-01,Papakura,5.04
2017-01,Rodney,5.04
2017-01,Waitakere,5.04
2017-02,AucklandCity,5.05
2017-02,Franklin,5.05
2017-02,Manukau,5.05
2017-02,NorthShore,5.05
2017-02,Papakura,5.05
2017-02,Rodney,5.05
2017-02,Waitakere,5.05
2017-03,AucklandCity,5.08
2017-03,Franklin,5.08
2017-03,Manukau,5.08
2017-03,NorthShore,5.08
2017-03,Papakura,5.08
2017-03,Rodney,5.08
2017-03,Waitakere,5.08
2017-04,AucklandCity,5.07
2017-04,Franklin,5.07
2017-04,Manukau,5.07
2017-04,NorthShore,5.07
2017-04,Papakura,5.07
2017-04,Rodney,5.07
2017-04,Waitakere,5.07
2017-05,AucklandCity,5.09
2017-05,Franklin,5.09
2017-05,Manukau,5.09
